,unique_tx,city,state,zipcode,credit_card_limit,date,transaction_dollar_amount,Long,Lat,date_only,hour_only,day_of_the_week,num_day,month_only,year_only,session,classification
45,1280981422329509,Dallas,PA,18612,6000,2015-09-20 21:39:11,37.86,38.7240056575066,70.5352312530067,2015-09-20,21,Sunday,0,9,2015,Evening-Night,Fraud
57,1280981422329509,Dallas,PA,18612,6000,2015-07-31 20:43:34,857.56,-75.9386460743696,41.385103336914,2015-07-31,20,Friday,5,7,2015,Evening-Night,Fraud
108,1280981422329509,Dallas,PA,18612,6000,2015-09-05 01:48:25,41.62,50.8434031625035,23.3025717501788,2015-09-05,1,Saturday,6,9,2015,Late Night,Fraud
146,1280981422329509,Dallas,PA,18612,6000,2015-09-04 12:10:40,26.3,-76.0090018196459,41.2961043068546,2015-09-04,12,Friday,5,9,2015,Morning,Fraud
177,1280981422329509,Dallas,PA,18612,6000,2015-09-12 12:41:32,31.71,-76.0198849544009,41.3519867461976,2015-09-12,12,Saturday,6,9,2015,Morning,Fraud
278,1280981422329509,Dallas,PA,18612,6000,2015-10-16 02:50:26,32.96,-75.902754239021,41.2979814615791,2015-10-16,2,Friday,5,10,2015,Late Night,Fraud
279,1280981422329509,Dallas,PA,18612,6000,2015-09-20 22:45:27,36.35,3.46688620292352,46.9231513940635,2015-09-20,22,Sunday,0,9,2015,Evening-Night,Fraud
405,9737219864179988,Houston,PA,15342,16000,2015-09-22 15:18:32,142.92,85.8317395750798,29.2439160116861,2015-09-22,15,Tuesday,2,9,2015,Afternoon,Fraud
422,9737219864179988,Houston,PA,15342,16000,2015-10-11 18:11:20,73.53,136.95298799514,-18.5760299374242,2015-10-11,18,Sunday,0,10,2015,Afternoon,Fraud
445,9737219864179988,Houston,PA,15342,16000,2015-10-07 19:50:02,9.78,51.6845000639537,31.5883604064019,2015-10-07,19,Wednesday,3,10,2015,Evening-Night,Fraud
463,9737219864179988,Houston,PA,15342,16000,2015-09-24 18:18:08,926.51,7.66819352235379,35.2943585181434,2015-09-24,18,Thursday,4,9,2015,Afternoon,Fraud
535,9737219864179988,Houston,PA,15342,16000,2015-10-18 21:07:07,12.3,146.802316407896,-2.92026471474384,2015-10-18,21,Sunday,0,10,2015,Evening-Night,Fraud
615,9737219864179988,Houston,PA,15342,16000,2015-10-04 21:43:18,77.14,8.59464372635813,12.1542496623371,2015-10-04,21,Sunday,0,10,2015,Evening-Night,Fraud
700,9737219864179988,Houston,PA,15342,16000,2015-09-18 22:41:40,96.7,121.436065253375,40.741679026968,2015-09-18,22,Friday,5,9,2015,Evening-Night,Fraud
740,9737219864179988,Houston,PA,15342,16000,2015-08-20 18:09:28,31.85,88.8390847117069,-4.34929617655224,2015-08-20,18,Thursday,4,8,2015,Afternoon,Fraud
744,9737219864179988,Houston,PA,15342,16000,2015-10-26 20:40:24,846.62,8.26584824289079,53.1018664301171,2015-10-26,20,Monday,1,10,2015,Evening-Night,Fraud
767,4749889059323202,Auburn,MA,1501,14000,2015-08-14 20:48:40,195.89,108.957211089971,21.9966511990192,2015-08-14,20,Friday,5,8,2015,Evening-Night,Fraud
796,4749889059323202,Auburn,MA,1501,14000,2015-08-21 11:38:36,55.12,-71.9222008839073,42.1836495685167,2015-08-21,11,Friday,5,8,2015,Morning,Fraud
947,4749889059323202,Auburn,MA,1501,14000,2015-08-29 02:17:53,155.76,-71.8250313173875,42.2351013992189,2015-08-29,2,Saturday,6,8,2015,Late Night,Fraud
972,4749889059323202,Auburn,MA,1501,14000,2015-09-05 21:43:29,109.6,2.33652864437694,14.6779055022591,2015-09-05,21,Saturday,6,9,2015,Evening-Night,Fraud
979,4749889059323202,Auburn,MA,1501,14000,2015-09-18 01:06:43,126.34,114.802754723727,51.3984327758678,2015-09-18,1,Friday,5,9,2015,Late Night,Fraud
980,4749889059323202,Auburn,MA,1501,14000,2015-09-25 20:07:37,30.3,30.3672956163302,51.7580898612823,2015-09-25,20,Friday,5,9,2015,Evening-Night,Fraud
981,4749889059323202,Auburn,MA,1501,14000,2015-08-01 02:25:30,207.74,-71.8942024883418,42.2139739854627,2015-08-01,2,Saturday,6,8,2015,Late Night,Fraud
984,4749889059323202,Auburn,MA,1501,14000,2015-08-28 23:18:29,26.6,26.9742611011479,13.6059297138796,2015-08-28,23,Friday,5,8,2015,Evening-Night,Fraud
1067,9591503562024072,Orlando,WV,26412,18000,2015-08-13 23:19:44,0.86,5.39581903970663,40.1938104156982,2015-08-13,23,Thursday,4,8,2015,Evening-Night,Fraud
1119,9591503562024072,Orlando,WV,26412,18000,2015-08-19 18:40:06,78.98,-36.4484571007121,0.633129817890362,2015-08-19,18,Wednesday,3,8,2015,Afternoon,Fraud
1134,9591503562024072,Orlando,WV,26412,18000,2015-09-11 17:14:30,60.82,113.842513680476,-16.7925385553765,2015-09-11,17,Friday,5,9,2015,Afternoon,Fraud
1140,9591503562024072,Orlando,WV,26412,18000,2015-08-26 17:29:37,19.54,120.488326189816,48.7972186445401,2015-08-26,17,Wednesday,3,8,2015,Afternoon,Fraud
1226,9591503562024072,Orlando,WV,26412,18000,2015-10-23 00:07:02,99.84,1.02417098466645,3.36673230280861,2015-10-23,24,Friday,5,10,2015,Evening-Night,Fraud
1264,9591503562024072,Orlando,WV,26412,18000,2015-10-30 04:45:26,35.4,-80.4993067725753,38.8326377259105,2015-10-30,4,Friday,5,10,2015,Late Night,Fraud
1265,9591503562024072,Orlando,WV,26412,18000,2015-10-30 01:00:07,29.19,-80.5685605940079,38.8679906022336,2015-10-30,1,Friday,5,10,2015,Late Night,Fraud
1464,2095640259001271,New York,NY,10001,20000,2015-08-08 02:03:46,80.15,18.5014873458589,46.1303245434161,2015-08-08,2,Saturday,6,8,2015,Late Night,Fraud
1535,2095640259001271,New York,NY,10001,20000,2015-07-31 12:20:44,10.3,-74.0150171105129,40.783157265292,2015-07-31,12,Friday,5,7,2015,Morning,Fraud
1536,2095640259001271,New York,NY,10001,20000,2015-08-21 19:27:43,140.52,8.48089745802647,47.769083409787,2015-08-21,19,Friday,5,8,2015,Evening-Night,Fraud
1579,2095640259001271,New York,NY,10001,20000,2015-09-07 01:24:28,55.87,166.917232201195,55.9086452089518,2015-09-07,1,Monday,1,9,2015,Late Night,Fraud
1616,2095640259001271,New York,NY,10001,20000,2015-08-15 15:27:08,75.61,58.5057847184807,-24.6125467112869,2015-08-15,15,Saturday,6,8,2015,Afternoon,Fraud
1629,2095640259001271,New York,NY,10001,20000,2015-09-19 01:39:58,935.27,-74.0724160430492,40.7341108076694,2015-09-19,1,Saturday,6,9,2015,Late Night,Fraud
1725,2095640259001271,New York,NY,10001,20000,2015-10-02 21:08:03,89.36,44.3626208437445,27.0852476859881,2015-10-02,21,Friday,5,10,2015,Evening-Night,Fraud
1758,2095640259001271,New York,NY,10001,20000,2015-09-18 19:15:43,97.93,36.9005401470541,-16.6517613481267,2015-09-18,19,Friday,5,9,2015,Evening-Night,Fraud
1810,2095640259001271,New York,NY,10001,20000,2015-10-29 21:57:47,63.48,82.5076480040197,57.6975467978073,2015-10-29,21,Thursday,4,10,2015,Evening-Night,Fraud
1843,2095640259001271,New York,NY,10001,20000,2015-08-13 22:46:27,46.29,91.8337262507594,48.7891848159987,2015-08-13,22,Thursday,4,8,2015,Evening-Night,Fraud
1906,2095640259001271,New York,NY,10001,20000,2015-10-29 18:03:47,118.72,94.8320885693459,59.8221770260363,2015-10-29,18,Thursday,4,10,2015,Afternoon,Fraud
1922,2095640259001271,New York,NY,10001,20000,2015-10-19 23:22:04,47.32,102.024429779706,39.474253610595,2015-10-19,23,Monday,1,10,2015,Evening-Night,Fraud
1923,2095640259001271,New York,NY,10001,20000,2015-09-11 09:23:17,94.76,-73.9898223341313,40.7004942430015,2015-09-11,9,Friday,5,9,2015,Morning,Fraud
2009,1997929794676601,Atlanta,NY,14808,21000,2015-08-28 22:02:32,0.05,-77.4123258338775,42.596372311401,2015-08-28,22,Friday,5,8,2015,Evening-Night,Fraud
2013,1997929794676601,Atlanta,NY,14808,21000,2015-10-03 20:23:09,124.62,48.4685351368744,38.4416222128997,2015-10-03,20,Saturday,6,10,2015,Evening-Night,Fraud
2023,1997929794676601,Atlanta,NY,14808,21000,2015-09-13 20:06:11,0.06,-77.5573788735168,42.5708266912799,2015-09-13,20,Sunday,0,9,2015,Evening-Night,Fraud
2047,1997929794676601,Atlanta,NY,14808,21000,2015-09-06 23:07:37,943.53,27.7148487219279,11.7934584965635,2015-09-06,23,Sunday,0,9,2015,Evening-Night,Fraud
2121,1997929794676601,Atlanta,NY,14808,21000,2015-10-25 17:52:56,112.84,160.68762255284,12.0035191501242,2015-10-25,17,Sunday,0,10,2015,Afternoon,Fraud
